vocab_size,cit_as_vocab,target,text_span,max_cit_count,klist,partition,n,model,features,n_svm,cit_2-F1,cit_2-P,cit_2-R,cit_3-F1,cit_3-P,cit_3-R,cit_4-F1,cit_4-P,cit_4-R,Macro-F1
29665,True,cit_class,50,10,5|20,1-6,1088,simple,,200,75.3623188405797,73.23943661971832,77.61194029850746,69.87270155586987,67.11956521739131,72.86135693215338,69.57637997432604,74.24657534246575,65.45893719806763,71.60380012359187
29665,True,cit_class,50,10,5|20,2-6,998,simple,,200,73.27731092436974,70.09646302250803,76.76056338028168,60.45627376425855,64.11290322580645,57.194244604316545,72.22857142857143,71.98177676537586,72.47706422018348,68.65405203906657
29665,True,cit_class,50,10,5|20,3-6,980,simple,,200,71.14337568058076,69.01408450704226,73.40823970037454,70.2439024390244,70.12987012987013,70.35830618892508,74.81108312342569,76.5463917525773,73.15270935960592,72.06612041434362
29665,True,cit_class,50,10,5|20,4-6,898,simple,,200,74.52471482889734,66.44067796610169,84.84848484848484,71.80451127819549,79.58333333333333,65.41095890410958,71.81571815718158,73.00275482093664,70.66666666666667,72.71498142142481
29665,True,cit_class,50,10,5|20,5-6,955,simple,,200,70.96774193548387,67.20257234726688,75.17985611510791,70.04341534008682,66.66666666666666,73.78048780487805,64.76190476190477,72.59786476868328,58.45272206303726,68.59102067915849
29665,True,cit_class,50,10,5|20,6-6,1142,simple,,200,74.00530503978779,70.81218274111674,77.5,70.18072289156626,73.50157728706624,67.14697406340058,71.36258660508082,71.6937354988399,71.03448275862068,71.84953817881161
29665,True,cit_class,50,10,5|20,1-6,1088,letor,year,200,0.5952380952380953,100.0,0.2985074626865672,26.153846153846157,100.0,15.04424778761062,57.10344827586208,39.96138996138996,100.0,27.95084417498211
29665,True,cit_class,50,10,5|20,2-6,998,letor,year,200,0.7017543859649124,100.0,0.35211267605633806,20.0,96.875,11.151079136690647,62.098501070663815,45.07772020725388,99.77064220183486,27.600085152209573
29665,True,cit_class,50,10,5|20,3-6,980,letor,year,200,0,0.0,0.0,26.553672316384183,100.0,15.309446254071663,60.53811659192826,43.4549356223176,99.75369458128078,29.030596302770814
29665,True,cit_class,50,10,5|20,4-6,898,letor,year,200,0.8620689655172412,100.0,0.4329004329004329,33.618233618233624,100.0,20.205479452054796,61.83017312448475,44.74940334128878,100.0,32.103491902745205
29665,True,cit_class,50,10,5|20,5-6,955,letor,year,200,0,0,0.0,22.16216216216216,97.61904761904762,12.5,55.150554675118855,38.11610076670318,99.7134670487106,25.770905612427004
29665,True,cit_class,50,10,5|20,6-6,1142,letor,year,200,1.1049723756906078,100.0,0.5555555555555556,23.350253807106597,97.87234042553192,13.256484149855908,56.93717277486911,39.79871912168344,100.0,27.13079965255544
29665,True,cit_class,50,10,5|20,1-6,1088,letor,year|issarea,200,2.359882005899705,100.0,1.1940298507462688,27.777777777777775,96.49122807017544,16.224188790560472,57.32130464954893,40.21421616358325,99.7584541062802,29.152988144408805
29665,True,cit_class,50,10,5|20,2-6,998,letor,year|issarea,200,1.388888888888889,50.0,0.7042253521126761,17.105263157894736,100.0,9.352517985611511,61.96581196581196,44.938016528925615,99.77064220183486,26.819988004198525
29665,True,cit_class,50,10,5|20,3-6,980,letor,year|issarea,200,0.7434944237918216,50.0,0.37453183520599254,26.062322946175637,100.0,14.983713355048861,60.53811659192826,43.4549356223176,99.75369458128078,29.11464465396524
29665,True,cit_class,50,10,5|20,4-6,898,letor,year|issarea,200,1.7167381974248925,100.0,0.8658008658008658,31.70028818443804,100.0,18.835616438356166,61.67763157894737,44.589774078478,100.0,31.698219320270102
29665,True,cit_class,50,10,5|20,5-6,955,letor,year|issarea,200,1.4285714285714288,100.0,0.7194244604316548,24.59893048128342,100.0,14.02439024390244,55.5732484076433,38.47850055126791,100.0,27.20025010583272
29665,True,cit_class,50,10,5|20,6-6,1142,letor,year|issarea,200,1.1019283746556474,66.66666666666666,0.5555555555555556,17.801047120418847,97.14285714285714,9.798270893371757,56.400259909031845,39.311594202898554,99.77011494252874,25.10107846803545
29665,True,cit_class,50,10,5|20,1-6,1088,letor,year|issarea|vlj,200,1.7751479289940828,100.0,0.8955223880597015,26.086956521739133,98.07692307692307,15.04424778761062,57.083621285418104,39.98063891577928,99.7584541062802,28.31524191205044
29665,True,cit_class,50,10,5|20,2-6,998,letor,year|issarea|vlj,200,0.696864111498258,33.33333333333333,0.35211267605633806,18.30065359477124,100.0,10.071942446043165,62.00997861724874,44.98448810754912,99.77064220183486,27.00249877450608
29665,True,cit_class,50,10,5|20,3-6,980,letor,year|issarea|vlj,200,0,0,0.0,26.062322946175637,100.0,14.983713355048861,60.597014925373124,43.46895074946467,100.0,28.886445957182918
29665,True,cit_class,50,10,5|20,4-6,898,letor,year|issarea|vlj,200,0,0,0.0,33.14285714285714,100.0,19.863013698630137,61.7283950617284,44.642857142857146,100.0,31.623750734861847
29665,True,cit_class,50,10,5|20,5-6,955,letor,year|issarea|vlj,200,0.7168458781362007,100.0,0.3597122302158274,24.59893048128342,100.0,14.02439024390244,55.529037390612565,38.43612334801762,100.0,26.94827125001073
29665,True,cit_class,50,10,5|20,6-6,1142,letor,year|issarea|vlj,200,1.1049723756906078,100.0,0.5555555555555556,20.155038759689923,97.5,11.239193083573488,56.67752442996742,39.54545454545455,100.0,25.979178521782654
