vocab_size,cit_as_vocab,target,text_span,forecast_window,max_cit_count,klist,model,features,n_svm,partition,n,recall_5,recall_20
25000,True,cit_idx,50,1,10,5|20,simple,,100,1-6,248702,18.178784247814654,39.04713271304613
25000,True,cit_idx,50,1,10,5|20,simple,,100,2-6,248962,18.154979474779285,39.02161775692676
25000,True,cit_idx,50,1,10,5|20,simple,,100,3-6,252869,18.15722765542633,39.09731916525948
25000,True,cit_idx,50,1,10,5|20,simple,,100,4-6,249579,17.995905104195465,38.85623389788403
25000,True,cit_idx,50,1,10,5|20,simple,,100,5-6,253127,18.010721890592468,39.02309907674804
25000,True,cit_idx,50,1,10,5|20,simple,,100,6-6,253860,17.931930985582607,38.74734105412432
25000,True,cit_idx,50,1,10,5|20,letor,base,100,1-6,248702,25.737227686146475,53.25128064913029
25000,True,cit_idx,50,1,10,5|20,letor,base,100,2-6,248962,25.596275736859443,53.13340991797945
25000,True,cit_idx,50,1,10,5|20,letor,base,100,3-6,252869,25.606934816050998,53.124345016589615
25000,True,cit_idx,50,1,10,5|20,letor,base,100,4-6,249579,25.42962348595034,53.017281101374714
25000,True,cit_idx,50,1,10,5|20,letor,base,100,5-6,253127,25.541329056165484,53.11049394177626
25000,True,cit_idx,50,1,10,5|20,letor,base,100,6-6,253860,25.24107775939494,52.655006696604424
25000,True,cit_idx,50,1,10,5|20,letor,base|class,100,1-6,248702,28.9044720187212,59.51781650328506
25000,True,cit_idx,50,1,10,5|20,letor,base|class,100,2-6,248962,28.786320803978114,59.483374972887425
25000,True,cit_idx,50,1,10,5|20,letor,base|class,100,3-6,252869,28.73266394852671,59.44540453752734
25000,True,cit_idx,50,1,10,5|20,letor,base|class,100,4-6,249579,28.54887630770217,59.265803613284774
25000,True,cit_idx,50,1,10,5|20,letor,base|class,100,5-6,253127,28.577749509139682,59.37335803766489
25000,True,cit_idx,50,1,10,5|20,letor,base|class,100,6-6,253860,28.63468053257701,59.09359489482392
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year,100,1-6,248702,29.867874001817434,61.33645889458066
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year,100,2-6,248962,29.886087033362525,61.38808332195275
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year,100,3-6,252869,29.73239107996631,61.45632718917701
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year,100,4-6,249579,29.579812404088486,61.21668890411453
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year,100,5-6,253127,29.489939832574162,61.25107159647134
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year,100,6-6,253860,29.56865989127866,61.08445599936974
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year|vlj,100,1-6,248702,29.84415083111515,60.66376627449719
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year|vlj,100,2-6,248962,29.800130140342702,60.671106433913614
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year|vlj,100,3-6,252869,29.745836777145477,60.69427252846336
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year|vlj,100,4-6,249579,29.64912913346075,60.49507370411773
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year|vlj,100,5-6,253127,29.456359850983894,60.50085530188404
25000,True,cit_idx,50,1,10,5|20,letor,base|class|year|vlj,100,6-6,253860,29.55447884660837,60.36555581816749
