vocab_size,cit_as_vocab,target,text_span,max_docs,max_cit_count,klist,partition,n,model,features,n_svm,max_docs,cit_2-F1,cit_2-P,cit_2-R,cit_3-F1,cit_3-P,cit_3-R,cit_4-F1,cit_4-P,cit_4-R,Macro-F1
29665,True,cit_class,50,10,10,1|5|20,1-6,148406,simple,,100,10,44.95038738616284,42.0354638476368,48.29970059151433,46.24803324323235,44.9478513174404,47.62567511425011,45.22581824830864,49.27582428528738,41.79099433978204,45.47474629256794
29665,True,cit_class,50,10,10,1|5|20,2-6,148761,simple,,100,10,44.7608499560407,41.784267746749094,48.19404489685525,45.8385712860421,44.30387070644732,47.4834122243122,44.865145700978026,49.222,41.216861214851534,45.15485564768694
29665,True,cit_class,50,10,10,1|5|20,3-6,149063,simple,,100,10,45.437215456727,42.469342836180694,48.851059725604614,46.28009412900501,44.76131190911567,47.90556295802798,45.54835174869875,49.92793081358104,41.87514691561167,45.755220444810256
29665,True,cit_class,50,10,10,1|5|20,4-6,151369,simple,,100,10,44.82491134751773,42.14595315495541,47.86755656536968,45.86513994910941,44.09533092521453,47.782955369162266,45.09965144338189,49.41635003329547,41.47652551288795,45.263234246669676
29665,True,cit_class,50,10,10,1|5|20,5-6,150104,simple,,100,10,45.1642994369732,42.08141050845353,48.73460192685616,45.82897762910307,44.67131184131359,47.04824202780049,44.786539793649055,48.885749532412746,41.32160516667227,45.25993895324177
29665,True,cit_class,50,10,10,1|5|20,6-6,151574,simple,,100,10,45.449460997729936,42.58616083355597,48.72554552294959,45.84341729162309,44.718843508335596,47.02601091109703,45.18708428205175,48.988318529028746,41.93328342068048,45.493320857134925
29665,True,cit_class,50,10,10,1|5|20,1-6,148406,letor,year,2000,10,35.93893896687411,42.105607323851565,31.347825028602028,46.454672002784065,48.749201132109924,44.36643124221022,50.66444434433984,45.59040116742558,57.009377376024325,44.352685104666
29665,True,cit_class,50,10,10,1|5|20,2-6,148761,letor,year,2000,10,36.15589691506919,42.40619416319238,31.511396326620932,45.98105199982852,47.74644439003761,44.34155315322764,50.581678805289485,45.80627632115202,56.46865736631441,44.23954257339574
29665,True,cit_class,50,10,10,1|5|20,3-6,149063,letor,year,2000,10,37.338373876835426,43.221817028698275,32.86475538302028,46.42085725760059,48.49089548515839,44.52031978680879,50.91324715949679,46.104400168870605,56.8420699150408,44.8908260979776
29665,True,cit_class,50,10,10,1|5|20,4-6,151369,letor,year,2000,10,35.87977200967728,42.46336018635349,31.06361829025845,45.98049325427515,47.76282609180782,44.32639536087812,50.763109883427,45.79174873428598,56.945357706470276,44.20779171579315
