vocab_size,cit_as_vocab,target,text_span,max_cit_count,klist,partition,n,model,features,n_svm,cit_2-F1,cit_2-P,cit_2-R,cit_3-F1,cit_3-P,cit_3-R,cit_4-F1,cit_4-P,cit_4-R,Macro-F1
29665,True,cit_class,50,10,5|20,1-6,271391,simple,,2000,45.07197201466017,42.16789443859791,48.40563933729822,45.95035653237005,44.685933162617545,47.28841927880948,45.17066738589709,49.16284328861249,41.77815144683839,45.397665310975775
29665,True,cit_class,50,10,5|20,2-6,270282,simple,,2000,44.8069636710334,41.65026529931057,48.48139762329015,46.00332594235034,44.79263369243723,47.281283471206216,44.96778091018928,49.20836041912275,41.40008713466013,45.259356841191
29665,True,cit_class,50,10,5|20,3-6,273581,simple,,2000,45.17278320222828,42.5603580533158,48.12689137013461,45.993772476098584,44.56460539874433,47.51764212815605,45.15097496908998,49.015168666515734,41.85153819246277,45.43917688247228
29665,True,cit_class,50,10,5|20,4-6,269608,simple,,2000,45.41489585785619,42.58213671639017,48.6514109745414,46.10284506493868,44.731672567135824,47.560737688926636,45.05370750996126,49.081246424013024,41.63703060681583,45.523816144252045
29665,True,cit_class,50,10,5|20,5-6,274149,simple,,2000,45.05104006752335,42.55179027394253,47.86219264958154,45.64121453349973,44.228269439768155,47.14741660325068,45.20014588323427,48.91619730329408,42.00883123545686,45.29746682808578
29665,True,cit_class,50,10,5|20,6-6,271142,simple,,2000,44.90209108355018,42.03781659185525,48.18522319821921,45.77826827198766,44.55347215475458,47.072308394160586,45.22717093804429,49.12064511247311,41.90558747314158,45.30251009786071
29665,True,cit_class,50,10,5|20,1-6,271391,letor,year,2000,7.142406142267235,73.24527324527324,3.7542480883602383,33.5466475238337,72.57025982880086,21.815614788163092,57.97506325780561,41.99927009720978,93.56591152666395,32.88803897463551
29665,True,cit_class,50,10,5|20,2-6,270282,letor,year,2000,7.2410760937440255,74.21630094043887,3.806219102102062,33.25972780617406,72.96483575867526,21.538934846516717,58.09956777048786,42.07784757240789,93.82456270451154,32.86679055680198
29665,True,cit_class,50,10,5|20,3-6,273581,letor,year,2000,6.793157076205289,73.56507679870656,3.5609934258582907,33.418224951158244,72.6424752587874,21.70066717261534,57.78133705921944,41.779980862187216,93.64747684886868,32.66423969552766
29665,True,cit_class,50,10,5|20,4-6,269608,letor,year,2000,6.863353643860605,75.18734388009992,3.5957949507552627,33.4525481053682,72.5597609561753,21.737034784305177,57.83698427243441,41.83267264413237,93.67515144726649,32.71762867388774
29665,True,cit_class,50,10,5|20,5-6,274149,letor,year,2000,6.86835650040883,73.52785145888593,3.6024328117689866,32.75393664442275,72.48988169364881,21.15670751791738,57.88814750127883,41.856606302848995,93.82363179977648,32.50348021537014
29665,True,cit_class,50,10,5|20,6-6,271142,letor,year,2000,6.9822966142592255,73.91771981715515,3.664209642376338,33.16127784177343,72.403332949353,21.505474452554747,58.06774360454978,42.07722263650675,93.6618744178755,32.73710602019415
29665,True,cit_class,50,10,5|20,1-6,271391,letor,year|issarea,2000,6.604825628548257,72.71205357142857,3.459536958368734,33.91988216418107,73.74761723217689,22.025117560659023,58.18708853015754,42.128596679319635,94.0287889426808,32.903932107628954
29665,True,cit_class,50,10,5|20,2-6,270282,letor,year|issarea,2000,6.84409674285422,74.63061053805409,3.5865007167642444,33.58857998854474,74.09322396299032,21.71668831612771,58.280469312113205,42.185814119482764,94.23150010660092,32.90438201450405
29665,True,cit_class,50,10,5|20,3-6,273581,letor,year|issarea,2000,6.304934079105075,73.57226107226107,3.293592820619848,33.44258272574313,73.87432730651594,21.613447662630406,57.96449395671957,41.8688605108055,94.1638897582709,32.57067025385592
