vocab_size,cit_as_vocab,target,text_span,max_docs,max_cit_count,klist,partition,n,model,features,n_svm,cit_2-F1,cit_2-P,cit_2-R,cit_3-F1,cit_3-P,cit_3-R,cit_4-F1,cit_4-P,cit_4-R,Macro-F1
29665,True,cit_class,50,100,10000,1|5|20,1-6,149603,simple,,2000,70.39700054578675,69.87798558439722,70.92378311179115,64.86018201791599,56.991508797262725,75.24972023044721,58.711889429567684,69.58283451514873,50.77871675543085,64.65635733109015
29665,True,cit_class,50,100,10000,1|5|20,2-6,151840,simple,,2000,70.52621801123959,70.14342795112826,70.9132089569664,65.14201728290126,57.07835531419705,75.85886913845012,58.85940427484419,69.82287437915315,50.871627092318114,64.84254652299502
29665,True,cit_class,50,100,10000,1|5|20,3-6,151050,simple,,2000,69.92845218220845,69.17614306610673,70.69730433524619,64.86491211202112,56.705993825839776,75.76623853960346,58.13951248639643,69.82188295165395,49.80611520881805,64.31095892687533
29665,True,cit_class,50,100,10000,1|5|20,4-6,148665,simple,,2000,70.24340697210434,69.82043700872576,70.67153284671532,65.0568681995845,56.86781476522462,76.0011518130772,57.51190205180485,69.03081711692447,49.28748345943745,64.27072574116455
29665,True,cit_class,50,100,10000,1|5|20,5-6,148365,simple,,2000,70.22510066462911,69.55529394805757,70.90793308677655,64.99106823865665,56.98399273251261,75.61624475204722,58.300592271154635,69.53095859753823,50.19353101544882,64.5055870581468
29665,True,cit_class,50,100,10000,1|5|20,6-6,149754,simple,,2000,69.76151638905095,69.23149636071463,70.29971444340461,64.90101706417595,57.009067235591246,75.32906328379246,58.42364532019704,69.21862125789619,50.541461947257595,64.36205959114132
29665,True,cit_class,50,100,10000,1|5|20,1-6,149603,letor,year,2000,69.61373285534253,71.2928852467233,68.01185808549297,64.59471045421505,58.68895211000474,71.82202511708874,61.71427534061306,67.12012320328542,57.11429579476152,65.30757288339022
29665,True,cit_class,50,100,10000,1|5|20,2-6,151840,letor,year,2000,69.72741003572197,71.64429116886316,67.91043033600299,64.74913055911736,58.580513779231836,72.36977770445829,61.774618926288504,67.29975066230325,57.087856706158405,65.41705317370928
29665,True,cit_class,50,100,10000,1|5|20,3-6,151050,letor,year,2000,69.27444329744876,70.64263872875833,67.95823889665814,64.5207739066245,58.264204358417274,72.28268637820841,61.07082045784197,67.2553377252163,55.92792436018019,64.95534588730507
29665,True,cit_class,50,100,10000,1|5|20,4-6,148665,letor,year,2000,69.53539988528392,71.31566832063021,67.84184914841849,64.72015439757375,58.49877888720905,72.4223040375162,60.713428481748856,66.59713220998056,55.78495572218641,64.9896609215355
29665,True,cit_class,50,100,10000,1|5|20,5-6,148365,letor,year,2000,69.4835563336251,70.98183490457576,68.04722133777462,64.70692304110992,58.612371586174326,72.21598703080184,61.35052347643212,67.17257673748072,56.45720440240988,65.18033428372239
29665,True,cit_class,50,100,10000,1|5|20,6-6,149754,letor,year,2000,68.91710819083679,70.65332459545294,67.26417584527152,64.536788661277,58.43446397956097,72.06226810107165,61.156994856190686,66.74969359111216,56.42902503425916,64.8702972361015
29665,True,cit_class,50,100,10000,1|5|20,1-6,149603,letor,year|issarea,2000,69.77997196318644,71.1866092968886,68.42784737496413,64.59334617470499,58.849587678048124,71.57955817134331,61.83352234066681,67.20968759861154,57.25374237664018,65.4022801595194
29665,True,cit_class,50,100,10000,1|5|20,2-6,151840,letor,year|issarea,2000,69.83425678257547,71.46418359117237,68.27702150512526,64.70855132182045,58.72338280028907,72.05221264486327,61.85579903699271,67.32721403290421,57.20682760785869,65.46620238046289
29665,True,cit_class,50,100,10000,1|5|20,3-6,151050,letor,year|issarea,2000,69.37206112852664,70.48021895994029,68.29821092732796,64.45777623324128,58.37211998741159,71.96005962469116,61.132415158880185,67.25691762235823,56.03022952659109,64.9874175068827
29665,True,cit_class,50,100,10000,1|5|20,4-6,148665,letor,year|issarea,2000,69.63102886897734,71.1636649986029,68.16301703163018,64.69318873457645,58.636887945301666,72.14463481355025,60.81069863961264,66.62826653731886,55.92745903029892,65.04497208105548
29665,True,cit_class,50,100,10000,1|5|20,5-6,148365,letor,year|issarea,2000,69.62998019752655,70.83417798499899,68.46604129417815,64.65971521471016,58.733068540584576,71.91669784262376,61.389830818305626,67.18346770160241,56.51610514624213,65.22650874351412
29665,True,cit_class,50,100,10000,1|5|20,6-6,149754,letor,year|issarea,2000,69.03627881919361,70.48,67.65051712139754,64.51108068077019,58.5828849862958,71.77414339904234,61.222236301431856,66.77657558047702,56.52093987098499,64.92319860046523
29665,True,cit_class,50,100,10000,1|5|20,1-6,149603,letor,year|issarea|vlj,2000,69.7866533451927,71.15915020499442,68.46609926365115,64.55582063757446,59.034219748505464,71.216893936254,62.03113846042632,67.10984241191882,57.66704188437694,65.45787081439782
29665,True,cit_class,50,100,10000,1|5|20,2-6,151840,letor,year|issarea|vlj,2000,69.86419075351458,71.45019161764347,68.34707077311042,64.71912202380952,58.94521058516587,71.74702024992783,62.072157058184864,67.26329392250275,57.62487813744443,65.551823278503
29665,True,cit_class,50,100,10000,1|5|20,3-6,151050,letor,year|issarea|vlj,2000,69.40338684416601,70.45511005117504,68.382601147707,64.44315918000127,58.5415485205324,71.66806199334327,61.29839831306923,67.18264427048504,56.36189627576192,65.04831477907884
29665,True,cit_class,50,100,10000,1|5|20,4-6,148665,letor,year|issarea|vlj,2000,69.61998583798155,71.12470492677107,68.17761557177616,64.6626710266695,58.824917413874466,71.78675003599416,61.031208096838775,66.53716757449536,56.36684423031249,65.10462165382994
29665,True,cit_class,50,100,10000,1|5|20,5-6,148365,letor,year|issarea|vlj,2000,69.60096674930546,70.82657200811359,68.41705650395552,64.63208820882087,58.875678999692525,71.63611422870683,61.594645052593236,67.11986185816644,56.90989869072061,65.2759000035732
29665,True,cit_class,50,100,10000,1|5|20,6-6,149754,letor,year|issarea|vlj,2000,69.08930734500606,70.48382264829239,67.74890216687064,64.4337610834674,58.7067305234094,71.39895943452936,61.36402586976719,66.66340029397354,56.84514856779973,64.96236476608021
