vocab_size,cit_as_vocab,target,text_span,max_docs,max_cit_count,klist,partition,n,model,features,n_svm,cit_2-F1,cit_2-P,cit_2-R,cit_3-F1,cit_3-P,cit_3-R,cit_4-F1,cit_4-P,cit_4-R,Macro-F1
29665,True,cit_class,50,1000,10,1|5|20,1-6,149570,simple,,2000,73.23724101024908,71.02371443398994,75.59317963496638,70.49970791790017,67.48938428874735,73.7911165461065,69.96131286659178,74.7480904398179,65.75071628436908,71.23275393158035
29665,True,cit_class,50,1000,10,1|5|20,2-6,150894,simple,,2000,73.57858756734835,71.155483842051,76.17254036417724,70.40090432477733,67.29637081749757,73.80572923051776,69.74881495592079,74.83648946687961,65.30886525411074,71.24276894934883
29665,True,cit_class,50,1000,10,1|5|20,3-6,150243,simple,,2000,73.52687553894798,71.08398915121604,76.14364298811707,70.50209616785088,67.25750122047391,74.07560592273968,69.75700867762318,75.04951637405534,65.1617858216182,71.261993461474
29665,True,cit_class,50,1000,10,1|5|20,4-6,148048,simple,,2000,73.32544098496507,70.7329328734897,76.1152210779856,70.4442250740375,67.26871665315511,73.93439565676869,69.79678407628302,75.16398563173512,65.14500355317925,71.18881671176187
29665,True,cit_class,50,1000,10,1|5|20,5-6,150050,simple,,2000,73.1875453906187,70.65841606196857,75.90444991750556,70.45725020408565,67.14154497909911,74.11745230310805,69.67765042979943,75.14533480116654,64.9516718695224,71.10748200816793
29665,True,cit_class,50,1000,10,1|5|20,6-6,150472,simple,,2000,73.53250748927212,71.35129068462402,75.8512897606605,70.61772885737787,67.332723300155,74.23971009121419,69.92551459006327,75.01575239149943,65.48218273942464,71.35858364557109
29665,True,cit_class,50,1000,10,1|5|20,1-6,149570,letor,year,2000,71.85132664104191,74.52968955639855,69.35878962536023,70.07503814179408,70.17919507733245,69.97118991854417,71.10573702184676,69.38690903292674,72.9118844562103,71.01070060156093
29665,True,cit_class,50,1000,10,1|5|20,2-6,150894,letor,year,2000,72.35591756139702,74.50377411238468,70.32843125494807,69.88813309293559,70.08053580967251,69.69678394834702,71.06429975150638,69.5926709398311,72.59951218702815,71.102783468613
29665,True,cit_class,50,1000,10,1|5|20,3-6,150243,letor,year,2000,72.30411361410383,74.40471690981934,70.31886266758745,70.07580066390213,70.08377288240769,70.06783025891306,70.99299782973671,69.67095851216023,72.36618025177815,71.12430403591422
29665,True,cit_class,50,1000,10,1|5|20,4-6,148048,letor,year,2000,72.23210792665228,74.23220585183648,70.33696266620788,70.07521601292969,70.07231212315853,70.07812014339294,71.18294760460383,69.94431107409403,72.46624479713039,71.16342384806194
